host_since,first_review,neighbourhood_cleansed
2013-06-07,2013-07-10,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2011-09-12,2014-04-20,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2012-09-20,2013-08-09,ΚΕΡΑΜΕΙΚΟΣ
2012-06-23,2013-08-11,1Ο ΝΕΚΡΟΤΑΦΕΙΟ
2013-06-16,2013-09-05,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2013-06-16,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2011-02-01,2013-12-14,ΑΜΠΕΛΟΚΗΠΟΙ
2013-06-19,2013-07-21,ΙΛΙΣΙΑ
2013-06-29,2013-08-05,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2013-07-07,2013-09-16,ΑΜΠΕΛΟΚΗΠΟΙ
2013-05-11,2013-09-27,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-10-04,2013-09-06,ΝΙΡΒΑΝΑ
2013-07-23,2013-09-09,ΚΕΡΑΜΕΙΚΟΣ
2011-06-01,2013-11-09,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2011-05-04,2013-10-20,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-12-13,2019-07-23,ΚΥΨΕΛΗ
2013-06-19,2014-03-25,ΑΚΡΟΠΟΛΗ
2013-06-19,2013-09-19,ΑΚΡΟΠΟΛΗ
2013-02-25,2013-08-25,ΚΥΨΕΛΗ
2012-12-13,,ΚΥΨΕΛΗ
2012-12-13,2019-08-13,ΚΥΨΕΛΗ
2012-12-13,2019-09-02,ΚΥΨΕΛΗ
2012-12-13,,ΚΥΨΕΛΗ
2012-12-13,2020-09-14,ΚΥΨΕΛΗ
2012-12-13,2019-07-24,ΚΥΨΕΛΗ
2012-12-13,,ΚΥΨΕΛΗ
2012-12-13,,ΚΥΨΕΛΗ
2013-08-05,2013-08-14,ΑΚΡΟΠΟΛΗ
2013-08-07,2013-08-20,ΛΥΚΑΒΗΤΤΟΣ
2013-08-12,,ΠΕΤΡΑΛΩΝΑ
2010-04-19,2016-08-10,ΓΚΑΖΙ
2013-08-14,2015-05-06,ΚΟΛΩΝΟΣ
2013-08-23,2014-07-02,ΚΟΛΩΝΑΚΙ
2010-01-15,2014-05-27,ΚΟΛΩΝΑΚΙ
2013-09-03,2013-10-14,ΒΟΤΑΝΙΚΟΣ
2012-09-21,2015-11-17,ΠΕΤΡΑΛΩΝΑ
2012-02-20,2019-08-05,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2013-09-12,,ΝΕΟΣ ΚΟΣΜΟΣ
2013-09-15,2019-07-10,ΒΟΤΑΝΙΚΟΣ
2012-10-20,2013-11-02,ΘΗΣΕΙΟ
2013-09-23,2013-11-15,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2012-12-30,2013-10-28,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2012-09-20,2014-03-17,ΝΕΟΣ ΚΟΣΜΟΣ
2013-09-23,2013-12-17,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2012-09-25,,ΚΟΛΩΝΑΚΙ
2013-03-28,2013-11-08,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2013-10-21,2014-06-02,ΓΚΥΖΗ
