host_since,first_review,neighbourhood_cleansed
2012-12-01,2019-03-27,ΓΚΑΖΙ
2012-06-23,2019-04-11,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2019-02-15,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ
2019-02-17,2019-04-07,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ
2018-04-28,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ
2015-07-01,2019-06-27,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2011-06-27,2019-03-18,ΚΟΛΩΝΑΚΙ
2012-12-01,2019-03-24,ΓΚΑΖΙ
2018-09-27,2019-03-29,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2019-02-18,2019-03-08,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2017-10-07,2019-02-25,ΑΚΡΟΠΟΛΗ
2015-06-15,2019-03-04,ΚΕΡΑΜΕΙΚΟΣ
2012-01-18,2019-04-15,ΘΗΣΕΙΟ
2018-04-16,2019-04-08,ΘΗΣΕΙΟ
2018-02-17,2019-03-07,ΓΚΥΖΗ
2016-06-13,,ΑΝΩ ΚΥΨΕΛΗ
2019-02-19,2019-04-14,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2017-04-28,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2017-06-17,2019-03-18,ΙΛΙΣΙΑ
2016-06-13,,ΑΝΩ ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2019-02-20,,ΝΕΟΣ ΚΟΣΜΟΣ
2012-01-18,2019-03-03,ΚΟΛΩΝΑΚΙ
2015-04-22,2019-03-14,ΚΟΛΩΝΟΣ
2015-02-02,2019-06-04,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2019-02-16,,ΚΟΛΟΚΥΝΘΟΥ
2015-05-30,2019-03-10,ΓΟΥΔΙ
2019-02-20,,ΚΟΛΟΚΥΝΘΟΥ
2019-02-20,2019-04-12,ΝΙΡΒΑΝΑ
2018-12-19,2019-04-07,ΝΕΑ ΚΥΨΕΛΗ
2016-02-11,2019-03-31,ΚΥΨΕΛΗ
2019-02-20,2019-03-07,ΝΕΟΣ ΚΟΣΜΟΣ
2015-04-22,2019-07-02,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ
2017-11-15,2019-03-02,ΚΟΛΟΚΥΝΘΟΥ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2017-01-21,2019-03-26,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2018-02-28,2019-06-07,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2019-01-10,,ΖΑΠΠΕΙΟ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2014-11-04,2019-05-12,ΚΕΡΑΜΕΙΚΟΣ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2019-02-22,2019-03-10,ΝΕΟΣ ΚΟΣΜΟΣ
2014-03-17,,ΘΗΣΕΙΟ
2011-09-16,2019-04-08,ΠΑΓΚΡΑΤΙ
2012-01-18,2019-03-19,ΚΕΡΑΜΕΙΚΟΣ
2014-12-10,2019-03-03,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2017-04-23,2019-06-13,ΝΕΟΣ ΚΟΣΜΟΣ
2019-02-23,2019-08-05,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2017-05-24,2019-05-05,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2015-05-06,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2014-04-12,2019-03-10,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-02-24,2019-05-10,ΛΥΚΑΒΗΤΤΟΣ
2016-10-11,,ΑΜΠΕΛΟΚΗΠΟΙ
2016-06-13,2019-05-31,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2017-09-13,2019-04-24,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-01-13,2019-03-17,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2018-08-17,2019-03-13,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2019-02-25,2019-03-25,ΑΜΠΕΛΟΚΗΠΟΙ
2018-06-11,2019-03-19,ΖΑΠΠΕΙΟ
2017-01-31,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2019-01-10,2019-03-17,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-01-10,2019-03-20,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2017-09-28,2019-04-23,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-01-10,2019-03-11,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2018-03-16,2019-04-28,ΚΕΡΑΜΕΙΚΟΣ
2019-01-10,2019-04-12,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-01-10,2019-03-17,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-01-10,2019-03-10,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-01-10,2019-03-11,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-06-13,,ΑΝΩ ΚΥΨΕΛΗ
2019-02-26,2019-03-30,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2016-06-13,,ΑΝΩ ΚΥΨΕΛΗ
2018-03-23,,ΚΕΡΑΜΕΙΚΟΣ
2018-07-17,2019-05-12,ΚΕΡΑΜΕΙΚΟΣ
2018-03-16,2019-04-22,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2015-04-14,2019-03-08,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2018-10-13,2019-03-09,ΝΕΟΣ ΚΟΣΜΟΣ
2016-12-20,2019-03-22,ΣΤΑΔΙΟ
2018-05-14,2019-03-27,ΑΜΠΕΛΟΚΗΠΟΙ
2019-02-27,2019-06-17,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ
2016-06-13,,ΑΝΩ ΚΥΨΕΛΗ
2016-12-05,2019-03-09,ΑΚΡΟΠΟΛΗ
2019-02-26,2019-09-03,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2014-10-23,2019-11-17,ΑΝΩ ΠΑΤΗΣΙΑ
2016-01-08,2019-03-20,ΑΚΡΟΠΟΛΗ
2019-02-27,2019-04-23,ΓΟΥΔΙ
2018-07-28,,ΑΜΠΕΛΟΚΗΠΟΙ
2013-07-17,2019-03-11,ΣΤΑΔΙΟ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2019-01-30,2019-07-04,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2018-09-29,2019-03-25,ΠΑΓΚΡΑΤΙ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2019-02-22,2019-03-09,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-02-22,2019-07-15,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-02-22,2019-06-06,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-02-22,2019-09-20,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2017-06-17,2019-05-25,ΝΕΟΣ ΚΟΣΜΟΣ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,2020-08-25,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2018-04-16,2019-04-07,ΠΕΤΡΑΛΩΝΑ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΠΕΔΙΟ ΑΡΕΩΣ
2016-04-15,2019-07-07,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-03-01,2019-04-25,ΝΕΟΣ ΚΟΣΜΟΣ
2017-11-15,2019-03-18,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-05-08,,ΕΛΛΗΝΟΡΩΣΩΝ
2012-04-15,,ΛΥΚΑΒΗΤΤΟΣ
2013-10-08,,ΒΟΤΑΝΙΚΟΣ
2016-06-30,2019-05-10,ΓΚΥΖΗ
2019-02-27,2019-03-04,ΖΑΠΠΕΙΟ
2018-10-11,2019-03-26,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2019-02-27,2019-03-16,ΝΕΟΣ ΚΟΣΜΟΣ
2017-11-15,2019-04-11,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-02-27,2019-03-09,ΖΑΠΠΕΙΟ
2018-10-09,2019-05-27,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ
2019-03-01,2019-04-14,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-10-20,2019-06-03,ΝΕΟΣ ΚΟΣΜΟΣ
2015-07-19,2019-03-14,ΠΕΤΡΑΛΩΝΑ
2016-06-13,2020-08-31,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2017-01-21,2019-03-27,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2019-03-04,2019-05-08,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2015-03-24,2019-03-25,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2019-03-04,2019-03-16,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2015-05-01,2019-03-19,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2017-06-17,2019-04-07,ΝΕΟΣ ΚΟΣΜΟΣ
2019-02-22,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2017-01-07,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ
2019-03-04,2019-03-27,ΙΛΙΣΙΑ
2017-07-03,2019-06-25,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-06-13,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2019-03-05,2019-03-20,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2018-04-18,2019-04-08,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2019-02-27,2019-03-07,ΖΑΠΠΕΙΟ
2019-02-04,2019-03-28,ΑΝΩ ΚΥΨΕΛΗ
2019-03-05,2019-03-11,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,2021-02-03,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2019-03-06,2019-04-13,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2016-06-13,,ΚΥΨΕΛΗ
2015-10-14,2019-04-28,ΠΑΓΚΡΑΤΙ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΠΕΔΙΟ ΑΡΕΩΣ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2019-03-07,2019-04-09,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2019-02-27,2019-03-30,ΓΟΥΔΙ
2019-03-07,2019-03-17,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-09-12,2019-04-26,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2011-06-05,2019-03-25,ΖΑΠΠΕΙΟ
2014-11-16,2019-03-09,ΒΟΤΑΝΙΚΟΣ
2018-01-16,2019-04-07,ΚΟΛΩΝΑΚΙ
2019-03-06,2019-05-09,ΚΕΡΑΜΕΙΚΟΣ
2019-03-17,2019-09-11,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2019-03-08,2019-04-03,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2015-03-26,2019-03-29,ΚΕΡΑΜΕΙΚΟΣ
2018-03-23,2019-09-08,ΝΕΟΣ ΚΟΣΜΟΣ
2017-05-19,2020-12-31,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2019-03-09,,ΠΕΤΡΑΛΩΝΑ
2015-01-27,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2017-04-11,2019-06-26,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ
2019-01-24,,ΚΟΛΩΝΟΣ
2019-01-24,,ΚΟΛΩΝΟΣ
2019-03-11,2019-03-18,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2018-12-11,2019-04-06,ΠΕΤΡΑΛΩΝΑ
2019-03-11,2019-03-31,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-01-10,2019-04-07,ΖΑΠΠΕΙΟ
2019-03-12,2019-04-23,ΠΟΛΥΓΩΝΟ
2015-09-23,2019-04-16,ΙΛΙΣΙΑ
2017-05-22,2019-04-14,ΛΥΚΑΒΗΤΤΟΣ
2018-09-29,2019-03-26,ΣΤΑΔΙΟ
2014-06-29,2019-04-17,ΝΕΑ ΚΥΨΕΛΗ
2018-11-22,2019-04-13,ΚΥΨΕΛΗ
2019-03-09,2019-04-09,ΘΗΣΕΙΟ
2019-03-12,2019-03-19,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2018-10-29,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ
2019-03-12,2019-03-30,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-03-12,2019-05-31,ΠΑΤΗΣΙΑ
2018-05-06,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-10-12,2019-04-19,ΑΚΡΟΠΟΛΗ
2016-03-07,2019-05-03,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2018-02-08,2019-05-17,ΙΛΙΣΙΑ
2019-03-13,2019-05-14,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2019-03-13,2019-03-16,ΠΑΤΗΣΙΑ
2019-03-13,2019-04-27,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2019-03-13,2019-03-29,ΕΛΛΗΝΟΡΩΣΩΝ
2013-06-17,2019-04-07,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-03-13,2019-04-26,ΠΕΤΡΑΛΩΝΑ
2018-10-09,2019-03-26,ΓΟΥΔΙ
2019-03-14,2019-05-25,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2018-12-19,2019-03-25,ΓΟΥΔΙ
2019-03-14,2019-05-19,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-03-14,2019-04-03,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-03-14,2019-10-20,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-03-19,2019-04-18,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-07-02,,ΝΕΟΣ ΚΟΣΜΟΣ
2017-05-20,2019-04-17,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2019-02-01,2019-03-25,ΑΚΡΟΠΟΛΗ
2019-03-15,2019-03-23,ΓΟΥΔΙ
2016-05-19,2019-03-29,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-03-19,2019-04-26,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-12-03,2019-04-07,ΓΚΑΖΙ
2013-06-21,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-06-01,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-03-19,2019-04-22,ΖΑΠΠΕΙΟ
2016-04-03,2019-05-29,ΠΑΓΚΡΑΤΙ
2012-03-14,2019-04-28,ΕΛΛΗΝΟΡΩΣΩΝ
2019-03-15,2019-03-17,ΑΜΠΕΛΟΚΗΠΟΙ
2016-01-13,2019-05-26,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-03-17,2019-03-28,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2017-01-28,2020-08-10,ΝΕΟΣ ΚΟΣΜΟΣ
2015-03-23,2019-05-12,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-03-23,2019-05-08,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-03-16,2019-04-16,ΝΕΟΣ ΚΟΣΜΟΣ
2015-03-23,2019-05-10,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-03-23,2019-05-07,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-11-10,2019-04-18,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-03-23,2019-05-11,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-03-23,2019-05-09,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-03-23,2019-06-27,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-06-05,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ
2018-05-23,2019-03-31,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2011-08-08,2019-04-01,ΠΑΓΚΡΑΤΙ
2016-04-07,2019-04-04,ΝΕΟΣ ΚΟΣΜΟΣ
2019-03-18,2019-04-08,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-03-18,2019-04-18,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-03-18,2019-04-13,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-03-18,2019-04-07,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-03-18,2019-04-14,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-03-18,2019-04-09,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-05-04,2019-03-25,ΖΑΠΠΕΙΟ
2012-02-28,2019-03-28,ΑΜΠΕΛΟΚΗΠΟΙ
2019-03-18,,ΠΑΓΚΡΑΤΙ
2019-11-20,2019-04-13,ΣΤΑΔΙΟ
2014-10-03,2019-05-28,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2019-03-17,2019-03-30,ΓΟΥΔΙ
2019-03-19,2019-05-15,ΝΕΟΣ ΚΟΣΜΟΣ
2012-08-23,2019-05-29,ΠΑΓΚΡΑΤΙ
2019-03-19,2019-04-20,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2016-01-13,2019-04-22,ΑΚΡΟΠΟΛΗ
2019-03-19,2019-03-30,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-03-24,2019-05-13,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2019-03-19,2019-04-01,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2017-05-26,2019-05-29,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-01-27,2019-04-26,ΙΛΙΣΙΑ
2017-08-21,2019-04-08,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ
2019-03-19,2019-04-21,ΝΕΟΣ ΚΟΣΜΟΣ
2019-03-02,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2019-03-20,2019-05-05,ΘΗΣΕΙΟ
2018-10-15,2019-06-29,ΠΑΓΚΡΑΤΙ
